lat,lon,bat,tl_z_8,tl_z_half,tl_max_z
-37.75882455028353,-52.47175884670565,3957.7260188109985,147.35735219825452,126.34224577265081,165.39953138352058
-37.76813490442266,-52.491192217019154,3942.1602258730227,152.12072623138954,120.04962941957332,170.10408234249047
-37.77744203836029,-52.510630459917195,3945.331104979499,152.28513155361625,125.28065575985882,170.34867451061928
-37.78674595023253,-52.53007357657499,3946.7055414135466,169.03903506079217,140.06325896691234,187.03480258195017
-37.79604663817489,-52.54952156816579,3943.299449814709,159.13811060563378,140.32694639511408,178.51860882230582
-37.805344100322294,-52.568974435860845,3951.241210348755,152.07395888782276,130.8350568423879,170.02681571087876
-37.81463833480897,-52.58843218082934,3959.4288789082393,150.6642941458683,127.00953484653675,168.69536481379623
-37.8239293397686,-52.60789480423854,3927.7684633141225,149.45439811307145,117.16985538562056,167.4565248912718
-37.83321711333423,-52.62736230725365,3920.094616034775,159.84571315800588,117.86268925036907,177.80682907578182
-37.84250165363828,-52.646834691037895,3929.1225232518254,151.5073076062369,125.79669416553946,169.50159171832374
-37.85178295881255,-52.66631195675246,3940.495370725403,156.62757616100149,122.4938072768184,174.63947717274107
-37.861061026988246,-52.68579410555649,3953.2187076258306,151.641995674054,127.15439181654352,169.64467418431343
-37.87033585629593,-52.70528113860716,3944.3044503092674,153.34758890759363,134.59406974178953,171.292403282181
-37.87960744486557,-52.72477305705955,3938.3205061796984,157.7983496448741,129.0037351697997,175.8214088696943
-37.88887579082654,-52.744269862066794,3929.299456660381,154.67312352319192,136.25954455934374,172.69189219852373
-37.89814089230754,-52.76377155477988,3914.674644822736,150.6961675790297,125.92771931043372,168.75810167641936
-37.90740274743671,-52.78327813634785,3988.5940492489826,158.1578421768011,118.8609930255125,183.64918042719853
-37.91666135434158,-52.80278960791764,4001.8406938826492,158.98694752766775,120.56673481442462,176.99615406029082
-37.92591671114901,-52.82230597063419,3962.2261296650818,159.56346323966585,123.07410741873393,177.81257674366543
-37.93516881598533,-52.841827225640316,3912.897586777889,160.81228695813823,125.34082529160918,178.99076398161307
-37.94441766697618,-52.861353374076856,3862.3046513047016,159.60796224459088,119.43582990775144,177.76376667279618
-37.953663262246664,-52.88088441708253,3816.097447784232,158.39859057171145,124.15043935920845,176.30807790069247
-37.962905599921214,-52.900420355794026,3778.2930806861323,152.9339894790269,127.20947430703777,170.94106943680055
-37.9721446781237,-52.91996119134596,3773.7035303041002,147.95605002436258,132.37889935832723,165.93214905741686
-37.98138049497737,-52.93950692487085,3770.0951050010162,150.95335810071117,142.10286643107378,168.85167329221355
-37.99061304860484,-52.95905755749917,3761.303188543886,150.96795304097492,123.05623239837114,169.04175842445105
-37.99984233712814,-52.9786130903593,3750.217823102093,148.0647555269065,126.87661462538952,166.0371977782458
-38.009068358668706,-52.99817352457753,3733.4743026982146,165.2715678249746,120.54363562697486,183.35792363855714
-38.018291111347345,-53.01773886127807,3735.5911602642086,154.21569418126816,120.57914505900388,172.30338392372346
-38.027510593284276,-53.03730910158304,3738.203569763289,164.00179789094884,127.0258185422393,182.04349311748834
-38.03672680259909,-53.05688424661248,3727.647490674277,152.8517278516744,129.499397213637,170.80253085698288
-38.0459397374108,-53.07646429748428,3719.881336149262,149.70017073083594,130.340686398975,167.67340457232189
-38.055149395837816,-53.09604925531427,3726.982791571698,171.8700979232353,128.6790208921491,189.622878482093
-38.0643557759979,-53.11563912121616,3710.9048932646656,157.91377226919658,130.37087876599495,176.13880423750555
-38.073558876008285,-53.13523389630156,3691.359932988214,154.20298210464136,124.91797478765369,182.2508126364514
-38.08275869398553,-53.1548335816799,3683.0419673942206,156.67860675148592,124.06073700632334,174.7959258993037
-38.091955228045656,-53.174438178458615,3675.043021032101,162.42961192896064,126.41284611265829,180.4996318415208
-38.10114847630403,-53.19404768774289,3660.48985417919,153.4725039933686,133.14878856485015,171.4563859770233
-38.11033843687545,-53.21366211063585,3643.8802228346426,150.449357189287,125.55465442835103,168.424185741725
-38.119525107874104,-53.23328144823848,3627.0954349866934,158.15090070780175,135.85057022856915,176.13443591493933
-38.1287084874136,-53.25290570164963,3622.8026316317537,155.71933040668384,118.94803395001684,173.8160040641088
-38.137888573606915,-53.27253487196599,3613.7765191659887,155.28252993398627,120.82639416964331,173.36629104533017
-38.147065364566444,-53.29216896028212,3610.1751370445795,159.01710457563388,142.822240264202,176.9272320046478
-38.156238858404016,-53.31180796769044,3615.3214304818716,152.44273367445234,124.1666513124598,170.3353203608191
-38.165409053230796,-53.3314518952812,3650.0262953258007,149.02814204647296,125.77223429754814,167.07161083741403
