srcname,lat,lon,bat,tl_z_8,tl_z_half,tl_max_z,zs_max_tl
arasj,-45.86031190160023,-59.76543292206712,917.5909715721424,77.65103,77.24347,95.85794,903.0
arasj,-45.77052180416397,-59.75729209395758,855.1433405854568,71.619484,77.34478,103.627686,91.0
arasj,-45.680729711187304,-59.74917734982398,891.2643941428314,89.551575,83.78784,110.51667,479.0
arasj,-45.59093562615136,-59.74108852513058,912.8866220613884,80.29036,81.841545,117.592354,520.0
arasj,-45.50113955252246,-59.73302545664011,853.1050743757324,91.02355,75.35916,108.68854,47.0
arasj,-45.41134149375259,-59.72498798240067,1184.3870475127967,79.835175,84.48903,112.531105,1124.0
arasj,-45.32154145327956,-59.716975941732905,841.0429935961223,85.97496,81.317505,110.64124,672.0
arasj,-45.23173943452738,-59.708989175217184,869.6652371634141,96.5342,80.48894,125.07814,341.0
arasj,-45.14193544090644,-59.701027524681045,1011.2364504416678,92.00634,90.72268,114.715294,364.0
arasj,-45.05212947581387,-59.69309083318674,962.8463712347982,100.88392,85.514435,121.85183,242.0
arasj,-44.96232154263382,-59.685178945018954,1298.1684490591454,116.597,92.31189,136.46576,1.0
arasj,-44.87251164473765,-59.67729170567262,1337.78154171115,99.06345,89.731964,125.84675,340.0
arasj,-44.78269978548429,-59.66942896184096,1414.2088809553973,96.03012,88.26556,114.68018,687.0
arasj,-44.69288596822042,-59.66159056140356,1215.8810665375695,96.39694,89.27416,128.173,157.0
arasj,-44.603070196280825,-59.65377635341469,1233.8758348153842,96.171165,90.63211,125.58343,1185.0
arasj,-44.51325247298855,-59.645986188091705,1249.6794332348718,97.753105,88.78556,120.65688,1148.0
arasj,-44.42343280165526,-59.63821991680357,1300.4407575422806,98.63264,85.24138,132.5563,963.0
arasj,-44.33361118558138,-59.63047739205957,1204.3366793095765,97.99964,89.28037,125.07658,515.0
arasj,-44.24378762805647,-59.62275846749809,1090.5162982993954,97.39232,86.49156,121.27319,1064.0
arasj,-44.15396213235934,-59.61506299787558,1073.2084832498228,101.18394,90.04366,117.74617,1.0
arasj,-44.06413470175838,-59.60739083905564,1057.4793966884008,102.21196,98.8045,131.80212,629.0
arasj,-43.974305339511815,-59.59974184799818,1022.5809711966078,109.05964,85.802734,126.21033,136.0
arasj,-43.88447404886783,-59.592115882748764,916.4717234835409,114.13701,91.681076,141.50879,71.0
arasj,-43.794640833064946,-59.584512802428065,762.9681541977424,91.97921,91.09075,122.96181,751.0
arasj,-43.70480569533214,-59.57693246722141,355.60642012947244,89.49565,96.85144,125.979095,245.0
arasj,-43.61496863888913,-59.5693747383685,145.5851979179141,91.4513,101.45608,110.45065,69.0
arasj,-43.5251296669466,-59.561839478153175,123.83988934785322,100.56325,98.38842,118.503525,1.0
arasj,-43.43528878270635,-59.55432654989337,115.35183655901095,105.469795,94.44994,122.55792,100.0
arasj,-43.34544598936168,-59.54683581793115,110.40703743661916,107.07526,106.65802,125.041756,1.0
arasj,-43.2556012900974,-59.53936714762284,105.84430961317328,104.09815,112.22201,135.0344,47.0
arasj,-43.16575468809021,-59.53192040532932,105.83910274725972,102.55351,103.830086,124.03639,90.0
arasj,-43.07590618650883,-59.524495458406385,106.00000000000001,103.540436,104.581856,120.961525,1.0
arasj,-42.98605578851423,-59.51709217519522,104.3978779794469,125.34094,102.91169,140.10483,1.0
arasj,-42.896203497259826,-59.50971042501302,100.00000000000001,115.99945,103.386055,134.85707,1.0
arasj,-42.80634931589174,-59.50235007814365,101.0,118.793655,102.38951,136.88054,1.0
arasj,-42.71649324754891,-59.49501100582848,100.0,121.74123,109.027245,138.47067,1.0
arasj,-42.62663529536334,-59.4876930802573,95.54633923544708,115.784294,108.23277,133.53596,1.0
arasj,-42.53677546246035,-59.48039617455929,98.93317394710314,118.484665,109.019714,136.28055,1.0
arasj,-42.44691375195867,-59.47312016279415,100.0,123.846466,111.57173,141.20245,1.0
arasj,-42.35705016697066,-59.46586491994335,97.19204006255865,136.73956,116.83402,153.31265,1.0
arasj,-42.267184710602585,-59.45863032190137,97.0,119.582954,109.833626,137.44286,1.0
arasj,-42.17731738595468,-59.45141624546712,96.0,124.50116,112.76924,142.27417,1.0
arasj,-42.08744819612142,-59.44422256833552,92.43226897070294,120.60213,109.66244,138.59686,1.0
arasj,-41.99757714419169,-59.43704916908897,84.99999999999999,139.12233,117.56648,156.85793,1.0
arasj,-41.90770423324891,-59.42989592718915,83.0,123.644104,111.893074,141.50255,1.0
arasj,-41.817829466371286,-59.42276272296873,83.0,122.61014,113.79045,140.36464,1.0
arasj,-41.72795284663199,-59.41564943762326,83.0,138.539,118.07795,156.44542,1.0
arasj,-41.63807437709925,-59.40855595320316,84.0,128.10298,116.17813,145.97934,1.0
arasj,-41.5481940608366,-59.40148215260574,80.0,124.3815,116.22489,142.02727,1.0
arasj,-41.458311900903034,-59.39442791956733,80.0,131.21951,116.79215,149.26315,1.0
arasj,-41.368427900353176,-59.38739313865553,81.0,131.17284,119.127205,148.8217,1.0
arasj,-41.27854206223738,-59.38037769526152,82.20935316356163,134.53021,119.50925,152.35948,1.0
arasj,-41.188654389602036,-59.37338147559241,82.80192409421086,133.23547,118.94246,151.37784,1.0
arasj,-41.09876488548961,-59.36640436666378,76.44835047165856,132.53647,120.400475,150.40358,1.0
arasj,-41.00887355293883,-59.359446256292166,87.28409396746852,144.11201,121.96033,163.51456,1.0
arasj,-40.91898039498489,-59.35250703308777,86.0,138.95561,122.65419,157.34894,1.0
arasj,-40.82908541465957,-59.345586586447126,74.55921927902597,136.22922,123.33439,154.18387,1.0
arasj,-40.7391886149914,-59.33868480654593,74.0,134.40718,124.22778,152.24043,1.0
arasj,-40.649289999005774,-59.33180158433188,76.0,138.8591,125.61484,156.96051,1.0
arasj,-40.55938956972519,-59.32493681151767,83.0,146.05501,126.712906,164.527,1.0
arasj,-40.469487330169336,-59.318090380573985,85.30725373480921,141.86037,127.83685,159.70067,1.0
arasj,-40.37958328335523,-59.31126218472262,80.0,144.61494,129.09604,162.70978,1.0
arasj,-40.28967743229739,-59.304452117929664,81.0,146.41489,129.62521,165.12613,1.0
arasj,-40.19976978000798,-59.29766007489872,79.0341936066074,146.30354,130.47679,164.40405,1.0
arasj,-40.10986032949695,-59.29088595106426,79.09177851922496,149.47989,131.30997,168.03638,1.0
arasj,-40.019949083772154,-59.284129642585,71.50777471395973,140.998,131.36397,158.77509,1.0
arasj,-39.93003604583954,-59.277391046337364,65.92614890538556,144.95107,133.07559,162.90233,1.0
arasj,-39.840121218703246,-59.27067005990904,72.0,146.23013,134.21393,164.26802,1.0
arasj,-39.75020460536571,-59.26396658159253,71.0,147.89038,134.74364,166.15652,1.0
arasj,-39.66028620882787,-59.25728051037888,71.72136764312583,153.04684,136.90785,171.65108,1.0
arasj,-39.57036603208926,-59.25061174595138,69.13698043438325,147.87059,137.24205,165.62447,1.0
arasj,-39.480444078148146,-59.24396018867938,66.0,148.23795,138.32164,166.37315,1.0
arasj,-39.390520350001665,-59.23732573961215,64.54182251944488,150.1561,139.6646,168.12816,1.0
arasj,-39.30059485064592,-59.23070830047282,58.0,149.19817,140.16199,167.10486,1.0
arasj,-39.21066758307614,-59.22410777365237,48.73134915843286,149.55037,141.91629,167.3623,1.0
arasj,-39.120738550286774,-59.21752406220368,45.0,152.82758,144.1992,170.84903,1.0
arasj,-39.03080775527169,-59.21095706983568,36.764164519884055,150.79504,145.73096,168.38193,1.0
arasj,-38.94087520102417,-59.204406700907505,35.0,154.67133,149.48718,172.30524,1.0
arasj,-38.85094089053716,-59.19787286042275,34.007630860600834,158.41396,153.50107,176.04047,1.0
arasj,-38.761004826803266,-59.19135545402376,26.282316843198743,160.75612,157.63751,178.19669,1.0
arasj,-45.86013105573272,-59.7736,899.9992330796105,73.32649,70.34412,96.95766,527.0
arasj,-45.77016068856388,-59.7736,842.2300899633244,73.22094,76.81105,106.39429,600.0
arasj,-45.68018889833625,-59.7736,867.8328790808732,82.95282,74.11623,105.47143,46.0
arasj,-45.59021568490665,-59.7736,909.8576561128248,89.35826,78.30323,103.12686,1.0
arasj,-45.50024104814596,-59.7736,838.0934845993163,88.61258,87.3272,104.209984,1.0
arasj,-45.410264987939044,-59.7736,1064.6852602587649,94.45827,97.025024,132.70975,954.0
arasj,-45.32028750418483,-59.7736,789.1659708081697,84.82675,104.02665,110.3444,717.0
arasj,-45.23030859679627,-59.7736,820.0677470884274,89.157005,83.62468,109.564705,517.0
arasj,-45.140328265700354,-59.7736,849.1506795995437,91.08773,87.089905,115.39803,643.0
arasj,-45.05034651083812,-59.7736,945.0133986435821,90.93506,89.385994,108.36761,1.0
arasj,-44.960363332164654,-59.7736,1091.1150201442433,96.00394,84.2734,117.71928,854.0
arasj,-44.870378729649076,-59.7736,1239.285141545145,112.55434,109.28252,131.43149,1.0
arasj,-44.78039270327456,-59.7736,1083.434232561281,103.368416,93.87345,128.18512,668.0
arasj,-44.69040525303831,-59.7736,1105.5750811246958,102.1015,84.39049,120.28217,1.0
arasj,-44.60041637895162,-59.7736,1023.2188035521394,101.24739,99.39403,124.32221,816.0
arasj,-44.510426081039796,-59.7736,976.048741568441,101.78101,88.606255,122.23248,26.0
arasj,-44.420434359342245,-59.7736,857.0114684546072,93.92679,87.08467,123.108284,480.0
arasj,-44.33044121391237,-59.7736,687.3300580631417,101.64411,97.246414,118.58242,550.0
arasj,-44.24044664481767,-59.7736,468.9052278989717,99.79797,101.9466,118.67064,84.0
arasj,-44.15045065213969,-59.7736,477.43875687552804,90.87745,94.5802,128.73567,86.0
arasj,-44.06045323597403,-59.7736,445.9294367073292,99.58355,88.012375,117.240845,1.0
arasj,-43.97045439643035,-59.7736,223.98579717939208,97.154625,97.840355,121.882645,199.0
arasj,-43.88045413363236,-59.7736,133.32130947275365,104.71509,106.51033,122.034805,1.0
arasj,-43.79045244771786,-59.7736,116.82562089284687,104.39933,98.987526,119.89079,1.0
arasj,-43.70044933883865,-59.7736,119.83600002624243,102.93223,98.43441,119.52978,1.0
arasj,-43.61044480716067,-59.7736,113.0,107.731606,103.97005,124.44113,1.0
arasj,-43.520438852863826,-59.7736,114.09752673733794,105.00299,98.541145,130.30978,102.0
arasj,-43.43043147614217,-59.7736,110.0,107.429955,102.65184,124.9194,1.0
arasj,-43.34042267720375,-59.7736,110.79855748128539,108.02018,103.30526,125.46041,1.0
arasj,-43.2504124562707,-59.7736,101.0,110.54108,98.22188,128.15294,1.0
arasj,-43.16040081357921,-59.7736,96.64963835080076,112.705635,99.64101,130.69792,1.0
arasj,-43.070387749379506,-59.7736,102.09953817017504,124.93737,109.51568,142.85698,1.0
arasj,-42.980373263935896,-59.7736,99.55032497740999,116.341255,108.68362,134.00705,1.0
arasj,-42.89035735752674,-59.7736,99.0,113.36042,104.78404,131.10764,1.0
arasj,-42.80034003044444,-59.7736,96.0,119.78475,107.81365,137.727,1.0
arasj,-42.71032128299544,-59.7736,97.18313776278325,124.73146,108.24632,142.50061,1.0
arasj,-42.620301115500254,-59.7736,99.0,119.95415,109.37666,137.75125,1.0
arasj,-42.53027952829344,-59.7736,98.0,123.19824,107.10513,141.42395,1.0
arasj,-42.44025652172361,-59.7736,96.0,120.93418,106.45937,139.2097,1.0
arasj,-42.3502320961534,-59.7736,94.0,121.57869,108.67816,139.7004,1.0
arasj,-42.260206251959495,-59.7736,93.0,124.89406,111.533875,142.79074,1.0
arasj,-42.170178989532644,-59.7736,93.0,138.0966,114.53334,157.50632,1.0
arasj,-42.08015030927759,-59.7736,87.73607421616214,121.351685,110.6115,139.11903,1.0
arasj,-41.990120211613174,-59.7736,83.0,132.86508,113.81475,150.57115,1.0
arasj,-41.90008869697222,-59.7736,82.52128726283333,123.682304,111.6746,141.8676,1.0
arasj,-41.81005576580159,-59.7736,81.0,129.57008,114.09491,148.19424,1.0
arasj,-41.720021418562204,-59.7736,78.0,122.65428,113.49176,140.38493,1.0
arasj,-41.629985655728966,-59.7736,76.0,126.86038,114.98456,144.80669,1.0
arasj,-41.53994847779082,-59.7736,74.0,127.19922,117.478004,144.98456,1.0
arasj,-41.44990988525075,-59.7736,70.4783724495819,129.02364,117.49414,146.96611,1.0
arasj,-41.35986987862571,-59.7736,80.4377075123726,137.67511,119.58616,156.19992,1.0
arasj,-41.26982845844671,-59.7736,85.25883001657371,131.95465,120.14896,149.78358,1.0
arasj,-41.179785625258724,-59.7736,79.0,138.87593,121.38274,157.36784,1.0
arasj,-41.08974137962078,-59.7736,80.0,135.97835,122.16914,153.95633,1.0
arasj,-40.999695722105855,-59.7736,79.0,134.51369,122.19516,152.52257,1.0
arasj,-40.90964865330096,-59.7736,83.83600002624243,142.62677,124.74982,160.79327,1.0
arasj,-40.81960017380709,-59.7736,75.68231547613763,134.92984,123.579346,152.3972,1.0
arasj,-40.72955028423921,-59.7736,76.0,136.70476,124.74624,154.62488,1.0
arasj,-40.63949898522626,-59.7736,75.0,139.7136,125.95786,157.82402,1.0
arasj,-40.54944627741119,-59.7736,76.36710656789217,141.56786,127.61106,159.50134,1.0
arasj,-40.45939216145092,-59.7736,76.0,140.3519,127.90166,158.38585,1.0
arasj,-40.36933663801631,-59.7736,75.83611682006921,145.12447,129.23236,163.25133,1.0
arasj,-40.27927970779219,-59.7736,72.92244930933003,146.08136,130.2524,164.00667,1.0
arasj,-40.189221371477366,-59.7736,67.0,140.77061,130.78873,158.6231,1.0
arasj,-40.09916162978459,-59.7736,72.11499823506347,149.77553,133.953,167.9182,1.0
