srcname,lat,lon,bat,tl_z_8,tl_z_half,tl_max_z,zs_max_tl
gsj,-44.93323938660846,-63.887793077049785,95.0,53.277496,54.16279,70.34433,1.0
gsj,-44.91527869389599,-63.88618715551143,95.0,68.765274,54.204098,84.395996,1.0
gsj,-44.89731792189041,-63.88458223413614,95.0,63.277927,57.518227,90.398926,70.0
gsj,-44.87935707061956,-63.88297831167704,94.31934469870811,69.09039,65.179886,85.828316,1.0
gsj,-44.86139614011124,-63.88137538688921,94.0,63.20266,62.19286,80.49785,1.0
gsj,-44.84343513039324,-63.879773458529655,94.0,71.107315,64.440445,88.27168,1.0
gsj,-44.8254740414933,-63.87817252535729,93.89903712383692,65.79681,66.304726,82.966965,1.0
gsj,-44.8075128734392,-63.876572586132994,93.0,67.83509,62.184,85.20615,1.0
gsj,-44.78955162625864,-63.87497363961953,92.0,80.439285,66.67416,97.76569,1.0
gsj,-44.771590299979316,-63.8733756845816,92.0,97.03923,69.84652,112.18797,1.0
gsj,-44.753628894628925,-63.871778719785816,91.99999999999999,73.09088,64.34049,90.95685,1.0
gsj,-44.73566741023511,-63.8701827440007,94.0,74.12346,68.10652,91.660194,1.0
gsj,-44.717705846825524,-63.86858775599667,97.0,86.08686,69.411,105.34584,1.0
gsj,-44.69974420442777,-63.86699375454606,96.184873248318,75.26981,65.73815,92.98103,1.0
gsj,-44.68178248306947,-63.8654007384231,96.0,79.00391,72.86261,96.260826,1.0
gsj,-44.66382068277818,-63.8638087064039,95.0,76.981766,67.23447,94.93381,1.0
gsj,-44.64585880358147,-63.86221765726649,95.0,78.0213,71.84802,95.56696,1.0
gsj,-44.62789684550687,-63.86062758979076,95.0,79.80333,72.21074,97.454475,1.0
gsj,-44.60993480858191,-63.8590385027585,94.00000000000001,79.00253,67.96851,97.17146,1.0
gsj,-44.59197269283407,-63.85745039495337,93.0,83.62359,76.02826,100.79311,1.0
gsj,-44.57401049829085,-63.85586326516091,92.0,80.33822,71.340355,97.91753,1.0
gsj,-44.556048224979705,-63.85427711216854,90.4505637208,75.53941,70.533134,93.20005,1.0
gsj,-44.538085872928065,-63.85269193476553,89.0,77.64439,74.05942,95.224594,1.0
gsj,-44.52012344216335,-63.851107731743035,89.0,87.81733,77.48986,105.73433,1.0
gsj,-44.50216093271298,-63.84952450189406,87.01862384118455,81.95764,73.36023,99.47076,1.0
gsj,-44.484198344604295,-63.847942244013474,87.0,81.32025,71.22814,99.34037,1.0
gsj,-44.466235677864695,-63.846360956897996,88.0,80.42666,70.79944,115.9172,78.0
gsj,-44.4482729325215,-63.84478063934619,89.0,83.6179,73.03814,101.71207,1.0
gsj,-44.43031010860205,-63.84320129015848,90.89801553292592,90.60784,79.19463,108.01887,1.0
gsj,-44.41234720613365,-63.84162290813713,91.0,83.20401,74.67942,100.92184,1.0
gsj,-44.39438422514357,-63.84004549208624,90.0,79.85303,73.40096,98.310394,88.0
gsj,-44.37642116565908,-63.83846904081174,89.0,84.329445,75.66738,102.10252,1.0
gsj,-44.358458027707435,-63.83689355312139,89.0,91.62804,79.43115,108.972404,1.0
gsj,-44.34049481131586,-63.8353190278248,88.99999999999999,83.680824,76.64098,101.378174,1.0
gsj,-44.32253151651157,-63.83374546373339,88.00000000000001,82.01104,74.36043,99.87022,1.0
gsj,-44.304568143321745,-63.8321728596604,87.91059802948865,82.52172,75.15963,100.30323,1.0
gsj,-44.286604691773576,-63.8306012144209,87.0,86.774345,77.691696,104.540085,1.0
gsj,-44.2686411618942,-63.82903052683176,86.0,94.15276,80.39793,111.41778,1.0
gsj,-44.250677553710766,-63.82746079571166,86.0,94.36998,79.62538,112.58493,1.0
gsj,-44.23271386725038,-63.8258920198811,85.0,87.551506,78.38632,105.318375,1.0
gsj,-44.214750102540165,-63.82432419816238,85.0,84.87671,77.17552,102.65615,1.0
gsj,-44.19678625960719,-63.8227573293796,85.0,84.331726,76.38143,102.161194,1.0
gsj,-44.178822338478504,-63.821191412358644,84.0,84.96411,76.02835,102.8342,1.0
gsj,-44.16085833918117,-63.819626445927206,83.0,84.81662,76.38629,102.66609,1.0
gsj,-44.14289426174222,-63.818062428914764,81.0,84.79371,76.737335,102.62573,1.0
gsj,-44.12493010618866,-63.816499360152584,81.0,84.701706,77.69489,102.471725,1.0
gsj,-44.10696587254748,-63.8149372384737,80.0,88.16383,77.991714,106.07271,1.0
gsj,-44.089001560845645,-63.813376062712955,81.13962540706656,88.75086,79.35048,106.42022,1.0
gsj,-44.07103717111015,-63.81181583170694,81.70039317815585,92.78972,80.34834,110.75608,1.0
gsj,-44.053072703367896,-63.81025654429402,80.22832378465314,99.80852,80.38436,117.44443,1.0
gsj,-44.03510815764584,-63.80869819931435,80.0,98.42176,81.69757,115.807816,1.0
gsj,-44.01714353397085,-63.807140795609826,80.08242748660659,92.38735,82.54799,110.12693,1.0
gsj,-43.99917883236985,-63.80558433202413,81.9516054364831,90.87689,80.57951,108.56553,1.0
gsj,-43.98121405286968,-63.80402880740268,77.93439839396183,90.74723,79.170044,108.68219,1.0
gsj,-43.96324919549722,-63.80247422059266,77.0,90.34792,79.31611,108.35142,1.0
gsj,-43.9452842602793,-63.800920570443,76.36822245697952,93.15084,82.30282,111.01413,1.0
gsj,-43.92731924724274,-63.79936785580439,75.0,94.68983,81.18659,112.939804,1.0
gsj,-43.909354156414345,-63.79781607552925,75.0,88.77862,80.739395,106.56679,1.0
gsj,-43.8913889878209,-63.796265228471746,75.0,95.908295,82.39813,113.79831,1.0
gsj,-43.87342374148917,-63.79471531348779,74.76832478829671,90.53176,82.1131,108.278625,1.0
gsj,-43.85545841744593,-63.793166329435024,74.99999999999999,91.92232,81.279785,109.90298,1.0
gsj,-43.83749301571789,-63.79161827517281,75.51161398389173,97.95436,84.07965,115.92315,1.0
gsj,-43.81952753633179,-63.79007114956225,75.7181627978169,92.18574,81.86386,110.13998,1.0
gsj,-43.80156197931433,-63.78852495146618,76.0,93.47876,82.60253,111.39845,1.0
gsj,-43.78359634469219,-63.78697967974912,75.0,98.74909,84.110954,116.97119,1.0
gsj,-43.76563063249206,-63.78543533327736,75.0,92.43573,82.71222,110.321526,1.0
gsj,-43.74766484274059,-63.78389191091886,75.0,93.74404,83.68876,111.60831,1.0
gsj,-43.72969897546441,-63.78234941154331,75.0,100.04357,84.5555,118.31007,1.0
gsj,-43.71173303069014,-63.780807834022106,75.71759881122826,92.73982,83.59141,110.59065,1.0
gsj,-43.693767008444404,-63.779267177228355,76.0,95.01655,84.39735,112.87421,1.0
gsj,-43.6758009087538,-63.77772744003685,75.95242135398392,103.08002,85.42055,121.738266,1.0
gsj,-43.65783473164489,-63.77618862132409,74.38033558465804,92.48651,84.34321,110.25281,1.0
gsj,-43.63986847714424,-63.77465071996827,74.0,98.750046,85.48882,116.83072,1.0
gsj,-43.62190214527839,-63.77311373484928,73.0,96.714554,84.71309,114.8892,1.0
gsj,-43.603935736073865,-63.77157766484869,73.0,95.86255,86.02362,113.62603,1.0
gsj,-43.58596924955721,-63.770042508849755,73.0,95.291336,86.12409,113.2995,1.0
gsj,-43.56800268575488,-63.76850826573742,72.8206445710353,97.08096,86.39242,114.97923,1.0
gsj,-43.55003604469339,-63.76697493439829,70.29195748983142,94.89371,86.114296,112.69588,1.0
gsj,-43.53206932639919,-63.76544251372067,68.0,98.167305,86.41792,116.13584,1.0
