srcname,lat,lon,bat,tl_z_8,tl_z_half,tl_max_z,zs_max_tl
zais,-38.41929534138877,-56.47773744612845,80.0,90.382126,77.33498,108.40022,1.0
zais,-38.329388850864625,-56.47049287276355,80.76855033387469,101.09591,87.99053,119.12307,1.0
zais,-38.23948053194927,-56.463266177905446,79.02467234347365,112.61856,99.518234,130.64351,1.0
zais,-38.149570388161365,-56.45605726022976,88.0,119.85775,106.01308,137.93611,1.0
zais,-38.05965842301669,-56.44886601908166,85.73069264033506,128.13908,114.507515,146.16776,1.0
zais,-37.96974464002827,-56.44169235447004,76.60233334045658,139.1836,126.47084,157.20428,1.0
zais,-37.87982904270651,-56.43453616706174,75.0,156.94724,144.21935,174.97334,1.0
zais,-37.78991163455935,-56.42739735817581,73.0,176.4722,163.91692,194.49893,1.0
zais,-37.699992419092375,-56.420275829777914,61.816234166748586,203.79301,192.52602,221.84247,1.0
zais,-37.610071399808916,-56.41317148447467,57.662912458365696,224.69019,213.9202,242.7681,1.0
zais,-37.520148580210254,-56.406084225508124,51.37544514403385,240.8807,231.01717,258.90445,1.0
zais,-37.43022396379567,-56.399013956750274,41.490401706397726,252.89339,244.74951,270.9396,1.0
zais,-37.34029755406264,-56.391960582697635,31.52725810098884,264.4643,258.56375,282.48358,1.0
zais,-37.250369354506894,-56.38492400846585,26.588645070140466,280.75357,276.5597,298.67163,1.0
zais,-37.1604393686226,-56.377904139784384,24.80845493661985,300.37744,296.8136,318.56094,1.0
zais,-37.070507599902406,-56.370900882991236,13.279714690681509,311.50308,312.62616,329.36414,1.0
zais,-36.98057405183767,-56.36391414502774,22.0,327.05432,324.3374,345.18533,1.0
zais,-36.890638727918464,-56.35694383343339,15.0,333.70004,333.70004,351.84537,1.0
zais,-36.80070163163378,-56.349989856340734,15.839217666204686,337.17755,337.17755,355.57285,1.0
zais,-36.710762766471575,-56.343052122470304,17.502471902350862,346.94324,345.93027,364.9676,1.0
zais,-36.620822135918964,-56.33613054112561,17.0,358.882,357.86893,376.90677,1.0
zais,-36.53087974346223,-56.32922502218818,18.0,370.05722,369.04413,388.08206,1.0
zais,-36.440935592587046,-56.32233547611264,18.0,381.24472,380.23163,399.26953,1.0
zais,-36.35098968677851,-56.31546181392186,13.582028538968236,393.25775,394.4086,411.28406,1.0
zais,-36.26104202952126,-56.30860394720212,18.0,404.7423,403.729,422.76785,1.0
zais,-36.17109262429963,-56.301761788098375,23.403987068337763,415.17908,411.70383,433.1061,1.0
zais,-36.081141474597686,-56.2949352493095,20.0,427.17526,425.25757,445.20108,1.0
zais,-35.99118858389939,-56.28812424408363,19.0,440.34818,438.43018,458.37457,1.0
zais,-35.90123395568868,-56.281328686213534,17.0,452.21848,451.20496,470.24493,1.0
zais,-35.81127759344955,-56.27454849003202,16.0,463.42654,463.42654,481.45297,1.0
zais,-35.72131950066625,-56.2677835704074,14.616680148051493,476.19107,477.344,494.2026,1.0
zais,-35.631359680823174,-56.26103384273901,13.02632338569415,489.50052,490.65274,507.52335,1.0
zais,-35.54139813740523,-56.25429922295273,11.0,500.2505,502.73352,518.2769,1.0
zais,-35.45143487389772,-56.247579627496606,8.85695856756043,512.91284,521.95374,534.0814,1.0
zais,-35.36146989378655,-56.240874973336474,10.690006426260144,526.46173,530.5224,544.48834,1.0
zais,-35.27150320055827,-56.23418517795162,11.0,536.3899,538.97534,554.6917,1.0
zais,-35.181534797700195,-56.227510159330535,11.0,549.44653,551.92957,567.47296,1.0
zais,-35.09156468870051,-56.22084983596663,10.496039395026624,568.0303,572.0912,586.0573,1.0
zais,-35.00159287704833,-56.2142041268541,10.984109394126177,576.4494,580.50934,594.47656,1.0
zais,-38.41911419344029,-56.485,80.07866577061374,86.91756,73.81729,104.9445,1.0
zais,-38.32902699833162,-56.485,80.0,98.71886,85.62094,116.74571,1.0
zais,-38.238938415673424,-56.485,80.0,109.77517,96.67977,127.8019,1.0
zais,-38.14884844647892,-56.485,85.10000002696083,116.978615,103.35008,135.0072,1.0
zais,-38.05875709177514,-56.485,80.60170201469643,125.23719,112.15413,143.23906,1.0
zais,-37.968664352602914,-56.485,75.11849987439874,141.36694,128.64435,159.3929,1.0
zais,-37.878570230016805,-56.485,74.52116971769124,158.03773,145.50482,176.04951,1.0
zais,-37.78847472508516,-56.485,70.06606593703685,186.6558,174.36333,204.67456,1.0
zais,-37.69837783889009,-56.485,65.32136267137076,204.06392,192.35672,222.13255,1.0
zais,-37.60827957252745,-56.485,59.48709739515219,228.92326,217.88005,246.95291,1.0
zais,-37.51817992710682,-56.485,43.17263654538054,246.15016,237.62326,264.1351,1.0
zais,-37.42807890375152,-56.485,35.2150431935584,263.26242,256.35254,281.29172,1.0
zais,-37.33797650359858,-56.485,28.0,278.3156,273.5989,296.28632,1.0
zais,-37.24787272779875,-56.485,19.89050916749033,285.74826,283.834,303.76807,1.0
zais,-37.15776757751646,-56.485,21.327796723354677,292.34778,289.6186,310.36884,1.0
zais,-37.06766105392984,-56.485,20.0,310.97122,309.0546,328.99518,1.0
zais,-36.9775531582307,-56.485,19.8872420362061,313.04175,311.12616,331.06842,1.0
zais,-36.88744389162451,-56.485,21.53788059430295,323.45364,320.71307,341.50394,1.0
zais,-36.79733325533038,-56.485,8.899999973039167,335.88223,344.97885,357.0013,1.0
zais,-36.70722125058112,-56.485,11.0,352.65643,355.13873,370.53912,1.0
