srcname,lat,lon,bat,tl_z_8,tl_z_half,tl_max_z,zs_max_tl
gsj,-44.93323938660846,-63.887793077049785,95.0,70.60418,56.154793,88.63592,1.0
gsj,-44.91527869389599,-63.88618715551143,95.0,74.13857,59.699036,92.17005,1.0
gsj,-44.89731792189041,-63.88458223413614,95.0,76.80787,62.36734,94.83937,1.0
gsj,-44.87935707061956,-63.88297831167704,94.31934469870811,79.01612,64.72173,97.04726,1.0
gsj,-44.86139614011124,-63.88137538688921,94.0,80.86958,66.57821,98.90063,1.0
gsj,-44.84343513039324,-63.879773458529655,94.0,82.55069,68.25892,100.58176,1.0
gsj,-44.8254740414933,-63.87817252535729,93.89903712383692,84.083916,69.803696,102.127945,1.0
gsj,-44.8075128734392,-63.876572586132994,93.0,85.805435,71.525154,103.840515,1.0
gsj,-44.78955162625864,-63.87497363961953,92.0,87.14429,73.01328,105.17458,1.0
gsj,-44.771590299979316,-63.8733756845816,92.0,88.60736,74.48517,106.655266,1.0
gsj,-44.753628894628925,-63.871778719785816,91.99999999999999,90.033554,75.9027,108.06394,1.0
gsj,-44.73566741023511,-63.8701827440007,94.0,91.45719,77.15897,109.49451,1.0
gsj,-44.717705846825524,-63.86858775599667,97.0,92.70864,78.12437,110.740585,1.0
gsj,-44.69974420442777,-63.86699375454606,96.184873248318,93.92188,79.46478,111.953835,1.0
gsj,-44.68178248306947,-63.8654007384231,96.0,95.149445,80.6896,113.18396,1.0
gsj,-44.66382068277818,-63.8638087064039,95.0,96.22524,81.7965,114.26491,1.0
gsj,-44.64585880358147,-63.86221765726649,95.0,97.4349,83.00713,115.46606,1.0
gsj,-44.62789684550687,-63.86062758979076,95.0,98.60287,84.17553,116.634026,1.0
gsj,-44.60993480858191,-63.8590385027585,94.00000000000001,99.740654,85.45715,117.78415,1.0
gsj,-44.59197269283407,-63.85745039495337,93.0,100.86494,86.59075,118.89368,1.0
gsj,-44.57401049829085,-63.85586326516091,92.0,102.191444,88.057495,120.22942,1.0
gsj,-44.556048224979705,-63.85427711216854,90.4505637208,103.381256,89.41842,121.4113,1.0
gsj,-44.538085872928065,-63.85269193476553,89.0,104.75116,90.79975,122.78041,1.0
gsj,-44.52012344216335,-63.851107731743035,89.0,105.93958,92.15555,123.92768,1.0
gsj,-44.50216093271298,-63.84952450189406,87.01862384118455,107.457985,93.677605,125.48611,1.0
gsj,-44.484198344604295,-63.847942244013474,87.0,108.902725,95.24385,126.82283,1.0
gsj,-44.466235677864695,-63.846360956897996,88.0,110.49035,96.70849,128.51884,1.0
gsj,-44.4482729325215,-63.84478063934619,89.0,111.68381,97.73437,129.71298,1.0
gsj,-44.43031010860205,-63.84320129015848,90.89801553292592,112.83914,98.87791,130.86864,1.0
gsj,-44.41234720613365,-63.84162290813713,91.0,114.05061,99.93534,132.08034,1.0
gsj,-44.39438422514357,-63.84004549208624,90.0,115.28935,101.32696,133.31895,1.0
gsj,-44.37642116565908,-63.83846904081174,89.0,116.58196,102.63169,134.61119,1.0
gsj,-44.358458027707435,-63.83689355312139,89.0,117.95601,104.00366,135.98872,1.0
gsj,-44.34049481131586,-63.8353190278248,88.99999999999999,119.23718,105.4446,137.26602,1.0
gsj,-44.32253151651157,-63.83374546373339,88.00000000000001,120.52966,106.737755,138.55847,1.0
gsj,-44.304568143321745,-63.8321728596604,87.91059802948865,121.857346,108.077644,139.88579,1.0
gsj,-44.286604691773576,-63.8306012144209,87.0,123.285484,109.50486,141.31395,1.0
gsj,-44.2686411618942,-63.82903052683176,86.0,124.74462,111.12509,142.77274,1.0
gsj,-44.250677553710766,-63.82746079571166,86.0,126.213974,112.572876,144.24362,1.0
gsj,-44.23271386725038,-63.8258920198811,85.0,127.81288,114.20336,145.84065,1.0
gsj,-44.214750102540165,-63.82432419816238,85.0,129.33388,115.724594,147.36163,1.0
gsj,-44.19678625960719,-63.8227573293796,85.0,130.8026,117.194176,148.83034,1.0
gsj,-44.178822338478504,-63.821191412358644,84.0,132.44476,119.00064,150.47217,1.0
gsj,-44.16085833918117,-63.819626445927206,83.0,134.17789,120.76921,152.23692,1.0
gsj,-44.14289426174222,-63.818062428914764,81.0,136.4955,123.237816,154.52197,1.0
gsj,-44.12493010618866,-63.816499360152584,81.0,138.90042,125.63765,156.92635,1.0
gsj,-44.10696587254748,-63.8149372384737,80.0,141.5098,128.36374,159.54396,1.0
gsj,-44.089001560845645,-63.813376062712955,81.13962540706656,143.49231,130.22578,161.5372,1.0
gsj,-44.07103717111015,-63.81181583170694,81.70039317815585,145.133,131.87349,163.1592,1.0
gsj,-44.053072703367896,-63.81025654429402,80.22832378465314,147.21388,134.12836,165.2423,1.0
gsj,-44.03510815764584,-63.80869819931435,80.0,149.62999,136.53996,167.65099,1.0
gsj,-44.01714353397085,-63.807140795609826,80.08242748660659,152.00862,138.92664,169.97661,1.0
gsj,-43.99917883236985,-63.80558433202413,81.9516054364831,153.75322,140.49007,171.77988,1.0
gsj,-43.98121405286968,-63.80402880740268,77.93439839396183,155.7845,143.21483,173.753,1.0
gsj,-43.96324919549722,-63.80247422059266,77.0,159.4633,146.56337,177.489,1.0
gsj,-43.9452842602793,-63.800920570443,76.36822245697952,163.02907,150.31108,181.04886,1.0
gsj,-43.92731924724274,-63.79936785580439,75.0,167.09256,154.38467,185.10779,1.0
gsj,-43.909354156414345,-63.79781607552925,75.0,171.16478,158.4407,189.19057,1.0
gsj,-43.8913889878209,-63.796265228471746,75.0,174.70065,161.97627,192.72649,1.0
gsj,-43.87342374148917,-63.79471531348779,74.76832478829671,178.75032,166.21454,196.77605,1.0
gsj,-43.85545841744593,-63.793166329435024,74.99999999999999,182.52063,169.98183,200.53781,1.0
gsj,-43.83749301571789,-63.79161827517281,75.51161398389173,185.64407,172.91599,203.67007,1.0
gsj,-43.81952753633179,-63.79007114956225,75.7181627978169,188.76175,176.03432,206.78769,1.0
gsj,-43.80156197931433,-63.78852495146618,76.0,191.68454,178.9562,209.7102,1.0
gsj,-43.78359634469219,-63.78697967974912,75.0,195.00014,182.21095,213.09831,1.0
gsj,-43.76563063249206,-63.78543533327736,75.0,198.2838,185.55255,216.3099,1.0
gsj,-43.74766484274059,-63.78389191091886,75.0,201.25417,188.52455,219.28023,1.0
gsj,-43.72969897546441,-63.78234941154331,75.0,204.36765,191.6366,222.39377,1.0
gsj,-43.71173303069014,-63.780807834022106,75.71759881122826,207.3066,194.57826,225.33257,1.0
gsj,-43.693767008444404,-63.779267177228355,76.0,210.09126,197.34407,228.10672,1.0
gsj,-43.6758009087538,-63.77772744003685,75.95242135398392,212.50691,199.7497,230.58475,1.0
gsj,-43.65783473164489,-63.77618862132409,74.38033558465804,216.0407,203.50252,234.08478,1.0
gsj,-43.63986847714424,-63.77465071996827,74.0,220.03912,207.50023,238.04579,1.0
gsj,-43.62190214527839,-63.77311373484928,73.0,223.99257,211.49294,241.95528,1.0
gsj,-43.603935736073865,-63.77157766484869,73.0,227.78308,215.23642,245.76906,1.0
gsj,-43.58596924955721,-63.770042508849755,73.0,231.60728,219.02184,249.67395,1.0
gsj,-43.56800268575488,-63.76850826573742,72.8206445710353,234.61751,222.27678,252.65508,1.0
gsj,-43.55003604469339,-63.76697493439829,70.29195748983142,239.62946,227.47368,257.65607,1.0
gsj,-43.53206932639919,-63.76544251372067,68.0,244.73015,232.80005,262.77267,1.0
gsj,-43.51410253089876,-63.76391100259452,68.4381113998225,247.82475,235.90031,265.85034,1.0
gsj,-43.49613565821851,-63.76238039991147,71.48485013094238,252.35208,239.9573,270.38898,1.0
gsj,-43.478168708384885,-63.760850704564824,73.89583092981312,250.68091,238.15884,268.706,1.0
gsj,-43.46020168142427,-63.759321915449526,74.30078031334712,254.02371,241.46037,272.05096,1.0
gsj,-43.442234577363074,-63.75779403146222,76.59949302480109,254.23567,241.50539,272.26166,1.0
gsj,-43.42426739622768,-63.756267051501155,77.0,255.11446,242.21442,273.13187,1.0
gsj,-43.40630013804444,-63.754740974466266,76.0,258.0786,245.39662,276.04767,1.0
gsj,-43.3883328028397,-63.75321579925914,75.0,260.37405,247.66425,278.38913,1.0
gsj,-43.37036539063981,-63.751691524782984,76.0,264.86908,252.1021,282.89642,1.0
gsj,-43.35239790147108,-63.75016814994267,77.42494259515507,264.4352,251.53033,282.4618,1.0
gsj,-43.33443033535982,-63.748645673644695,81.04141683832255,265.98157,252.40526,284.0384,1.0
gsj,-43.31646269233231,-63.747124094797215,81.36524938052591,267.71097,254.4123,285.73898,1.0
gsj,-43.298494972414844,-63.74560341231,79.44481892902508,266.84723,253.77441,284.873,1.0
gsj,-43.28052717563368,-63.74408362509444,79.17347785811482,268.4296,255.35573,286.45288,1.0
gsj,-43.262559302015056,-63.742564732063585,80.0,271.78085,258.69318,289.78287,1.0
gsj,-43.244591351585214,-63.741046732132084,79.71970331995935,274.63455,261.52417,292.66177,1.0
gsj,-43.22662332437037,-63.73952962421621,78.90248805216814,275.07132,262.16278,293.09747,1.0
gsj,-43.20865522039674,-63.738013407233865,76.0,276.02295,263.32947,294.04657,1.0
gsj,-43.19068703969051,-63.73649808010455,80.92590047134324,278.95538,265.86496,296.98386,1.0
gsj,-43.172718782277855,-63.7349836417494,83.90100967572239,281.32938,267.874,299.3571,1.0
gsj,-43.15475044818496,-63.733470091091135,83.0,282.5272,269.07132,300.55505,1.0
gsj,-43.13678203743795,-63.731957427054084,81.32768897487956,282.5592,269.3047,300.58466,1.0
gsj,-43.11881355006298,-63.7304456485642,79.01525200488233,284.08563,271.01486,302.11154,1.0
gsj,-43.100844986086145,-63.728934754549,76.31228141310439,287.66794,274.95905,305.6926,1.0
gsj,-43.082876345533606,-63.72742474393763,74.3903229178244,293.05563,280.52606,311.08112,1.0
gsj,-43.06490762843142,-63.725915615660824,78.0,297.1844,284.25983,315.2085,1.0
gsj,-43.0469388348057,-63.72440736865088,75.76532034311938,299.43896,286.72635,317.4762,1.0
gsj,-43.02896996468248,-63.72290000184171,73.45279151354278,303.0163,290.48975,321.04172,1.0
gsj,-43.01100101808786,-63.72139351416879,72.0,308.32642,295.9862,326.3617,1.0
gsj,-42.99303199504784,-63.719887904569205,70.27309707122778,315.42023,303.27805,333.44608,1.0
gsj,-42.9750628955885,-63.71838317198159,71.44221463297687,324.25964,311.8694,342.28265,1.0
gsj,-42.95709371973581,-63.71687931534617,74.0,326.515,313.91724,344.53458,1.0
