srcname,lat,lon,bat,tl_z_8,tl_z_half,tl_max_z,zs_max_tl
arasj,-45.86031190160023,-59.76543292206712,917.5909715721424,77.935905,68.6263,99.687256,883.0
arasj,-45.77052180416397,-59.75729209395758,855.1433405854568,77.38243,75.32445,97.18628,763.0
arasj,-45.680729711187304,-59.74917734982398,891.2643941428314,83.57446,74.21064,104.98087,92.0
arasj,-45.59093562615136,-59.74108852513058,912.8866220613884,89.45419,91.728455,107.42988,157.0
arasj,-45.50113955252246,-59.73302545664011,853.1050743757324,99.767265,77.98356,118.1304,246.0
arasj,-45.41134149375259,-59.72498798240067,1184.3870475127967,102.023445,100.26877,120.06505,1.0
arasj,-45.32154145327956,-59.716975941732905,841.0429935961223,92.20808,85.9237,112.55437,608.0
arasj,-45.23173943452738,-59.708989175217184,869.6652371634141,103.26023,86.69475,121.13245,1.0
arasj,-45.14193544090644,-59.701027524681045,1011.2364504416678,104.33537,88.81771,124.87919,734.0
arasj,-45.05212947581387,-59.69309083318674,962.8463712347982,110.72291,94.57725,128.73067,1.0
arasj,-44.96232154263382,-59.685178945018954,1298.1684490591454,102.64104,90.125114,120.67136,1.0
arasj,-44.87251164473765,-59.67729170567262,1337.78154171115,109.18573,98.1095,127.176,1.0
arasj,-44.78269978548429,-59.66942896184096,1414.2088809553973,103.89575,95.26999,137.40509,90.0
arasj,-44.69288596822042,-59.66159056140356,1215.8810665375695,110.61501,91.049934,128.58571,1.0
arasj,-44.603070196280825,-59.65377635341469,1233.8758348153842,101.931274,97.99687,119.74676,1.0
arasj,-44.51325247298855,-59.645986188091705,1249.6794332348718,105.24004,94.96314,123.167046,1.0
arasj,-44.42343280165526,-59.63821991680357,1300.4407575422806,113.28493,93.92194,131.34116,1.0
arasj,-44.33361118558138,-59.63047739205957,1204.3366793095765,113.16371,99.23363,131.22917,1.0
arasj,-44.24378762805647,-59.62275846749809,1090.5162982993954,114.47164,97.591156,137.50664,973.0
arasj,-44.15396213235934,-59.61506299787558,1073.2084832498228,110.58188,96.41694,128.54771,1.0
arasj,-44.06413470175838,-59.60739083905564,1057.4793966884008,118.12685,94.11207,136.08577,1.0
arasj,-43.974305339511815,-59.59974184799818,1022.5809711966078,108.02472,102.28128,128.07423,99.0
arasj,-43.88447404886783,-59.592115882748764,916.4717234835409,108.744286,96.77213,126.67062,1.0
arasj,-43.794640833064946,-59.584512802428065,762.9681541977424,116.056885,101.46156,135.6074,436.0
arasj,-43.70480569533214,-59.57693246722141,355.60642012947244,114.877426,92.39316,132.67682,1.0
arasj,-43.61496863888913,-59.5693747383685,145.5851979179141,108.36117,93.59226,126.40099,1.0
arasj,-43.5251296669466,-59.561839478153175,123.83988934785322,110.60151,95.96138,128.6149,1.0
arasj,-43.43528878270635,-59.55432654989337,115.35183655901095,112.1443,97.15453,130.168,1.0
arasj,-43.34544598936168,-59.54683581793115,110.40703743661916,113.1388,98.349945,131.16338,1.0
arasj,-43.2556012900974,-59.53936714762284,105.84430961317328,114.39264,99.51236,132.42772,1.0
arasj,-43.16575468809021,-59.53192040532932,105.83910274725972,114.78199,100.54811,132.79901,1.0
arasj,-43.07590618650883,-59.524495458406385,106.00000000000001,116.23407,101.882195,134.25409,1.0
arasj,-42.98605578851423,-59.51709217519522,104.3978779794469,118.36188,103.52273,136.3973,1.0
arasj,-42.896203497259826,-59.50971042501302,100.00000000000001,119.18399,104.76335,137.21358,1.0
arasj,-42.80634931589174,-59.50235007814365,101.0,120.797005,106.28447,138.82426,1.0
arasj,-42.71649324754891,-59.49501100582848,100.0,121.83916,107.63911,139.85428,1.0
arasj,-42.62663529536334,-59.4876930802573,95.54633923544708,123.25928,109.10909,141.2875,1.0
arasj,-42.53677546246035,-59.48039617455929,98.93317394710314,124.93713,110.795395,142.96066,1.0
arasj,-42.44691375195867,-59.47312016279415,100.0,127.00764,112.46116,145.04181,1.0
arasj,-42.35705016697066,-59.46586491994335,97.19204006255865,127.15191,113.51204,145.15996,1.0
arasj,-42.267184710602585,-59.45863032190137,97.0,129.00798,115.18396,147.02165,1.0
