srcname,lat,lon,bat,tl_z_8,tl_z_half,tl_max_z,zs_max_tl
arasj,-45.93214254041128,-59.77196447642247,852.5102326090491,64.56047,60.190002,108.3294,459.0
arasj,-45.91418500074885,-59.770330008178846,870.6703375332422,61.7352,71.014534,91.13321,23.0
arasj,-45.89622738104081,-59.76869659392964,931.2769977781918,85.54602,89.08227,104.95862,467.0
arasj,-45.87826968131524,-59.767064232337475,900.8327627235752,64.261375,75.60891,104.06331,759.0
arasj,-45.86031190160023,-59.76543292206712,917.5909715721424,71.41815,82.26386,102.539894,899.0
arasj,-45.8423540419238,-59.763802661785455,888.6427356853117,78.490974,72.33172,101.11115,333.0
arasj,-45.824396102313976,-59.76217345016149,910.9722734696309,80.07213,84.621506,103.07324,604.0
arasj,-45.806438082798756,-59.76054528586635,860.210967243792,72.10374,69.77711,100.924355,450.0
arasj,-45.7884799834061,-59.75891816757327,851.6081291697487,80.67784,73.668274,111.00122,124.0
arasj,-45.77052180416397,-59.75729209395758,855.1433405854568,75.7761,73.35215,103.019165,138.0
arasj,-45.75256354510025,-59.755667063696734,852.4273085626872,86.71765,69.34533,104.07854,1.0
arasj,-45.734605206242875,-59.754043075470264,854.2540743381395,78.4404,71.946266,97.62798,680.0
arasj,-45.716646787619695,-59.75242012795982,858.4647412805375,75.11248,78.33042,101.330376,461.0
arasj,-45.69868828925856,-59.750798219849116,870.3163598139586,72.86141,72.494385,101.26441,758.0
arasj,-45.680729711187304,-59.74917734982398,891.2643941428314,79.56383,77.95911,117.992165,625.0
arasj,-45.66277105343373,-59.74755751657229,1149.033008005395,80.79522,74.56239,102.51279,874.0
arasj,-45.6448123160256,-59.745938718784025,971.441558908768,88.18403,81.95003,113.38943,722.0
arasj,-45.626853498990684,-59.74432095515123,889.0626789399097,83.02155,74.98601,106.569374,689.0
arasj,-45.60889460235669,-59.742704224368026,1130.2798759915847,88.0842,80.72492,107.57988,783.0
arasj,-45.59093562615136,-59.74108852513058,912.8866220613884,84.504135,83.799225,125.775154,893.0
arasj,-45.57297657040234,-59.73947385613714,845.1002604617671,86.835556,83.71619,106.96851,136.0
