lat,lon,bat,tl_z_8,tl_z_half,tl_max_z
-37.75882455028353,-52.47175884670565,3957.7260188109985,159.69225270083035,134.61039016717265,177.5686323768671
-37.76813490442266,-52.491192217019154,3942.1602258730227,150.44713590985796,129.50448580062718,169.4385856916276
-37.77744203836029,-52.510630459917195,3945.331104979499,149.2141155005224,154.88031943636142,166.86032885557003
-37.78674595023253,-52.53007357657499,3946.7055414135466,154.56743545056358,127.61348088149407,173.07325273335456
-37.79604663817489,-52.54952156816579,3943.299449814709,150.40684640225524,126.28590199724515,168.21778628286935
-37.805344100322294,-52.568974435860845,3951.241210348755,147.8498019161978,126.38854071820842,165.64418278486787
-37.81463833480897,-52.58843218082934,3959.4288789082393,153.73076471305262,130.85881577437362,171.30216341519238
-37.8239293397686,-52.60789480423854,3927.7684633141225,147.17895156300878,135.29182667021973,166.96339768443056
-37.83321711333423,-52.62736230725365,3920.094616034775,150.6542667935316,122.29460719617728,168.21127108865267
-37.84250165363828,-52.646834691037895,3929.1225232518254,154.0461519940768,132.159914624782,177.19121766457266
-37.85178295881255,-52.66631195675246,3940.495370725403,152.69403698437554,124.72904589822126,181.2083023924664
-37.861061026988246,-52.68579410555649,3953.2187076258306,156.17800061452775,132.17108267369358,173.51353810227246
-37.87033585629593,-52.70528113860716,3944.3044503092674,152.56621523298531,132.7540939952087,169.5478357946239
-37.87960744486557,-52.72477305705955,3938.3205061796984,156.3279866628205,126.16806178717988,174.46136439030138
-37.88887579082654,-52.744269862066794,3929.299456660381,162.22332677280946,127.60528673780304,181.02717948870142
-37.89814089230754,-52.76377155477988,3914.674644822736,150.0636876853724,123.5145447566008,167.82352398356682
-37.90740274743671,-52.78327813634785,3988.5940492489826,153.01327583689473,123.60854826036686,170.3891624848265
-37.91666135434158,-52.80278960791764,4001.8406938826492,156.42928730295273,122.41182423656919,173.41033979086532
-37.92591671114901,-52.82230597063419,3962.2261296650818,151.61149891182555,133.58208571154864,169.43518797334247
-37.93516881598533,-52.841827225640316,3912.897586777889,159.10898396411054,122.81647429792221,176.7312133474732
-37.94441766697618,-52.861353374076856,3862.3046513047016,149.72065566337963,122.7287302038695,167.07213256031847
-37.953663262246664,-52.88088441708253,3816.097447784232,146.95286084734337,128.55085586413276,168.27765412332718
-37.962905599921214,-52.900420355794026,3778.2930806861323,146.75516309681592,126.05868377243642,164.16088069201032
-37.9721446781237,-52.91996119134596,3773.7035303041002,152.4039675687803,129.34257544711323,173.23629889353109
-37.98138049497737,-52.93950692487085,3770.0951050010162,153.40782692830604,128.2189165082267,189.80483227696828
-37.99061304860484,-52.95905755749917,3761.303188543886,152.75169343282985,141.81079008414122,171.576289266183
-37.99984233712814,-52.9786130903593,3750.217823102093,157.16206587919655,131.88471204030395,174.6853880293899
-38.009068358668706,-52.99817352457753,3733.4743026982146,152.50509169960156,128.36469886613455,170.31353590651528
-38.018291111347345,-53.01773886127807,3735.5911602642086,150.89233771901405,144.2423041999765,168.81166118796347
-38.027510593284276,-53.03730910158304,3738.203569763289,150.58079508387448,121.98814440253582,168.711801844432
-38.03672680259909,-53.05688424661248,3727.647490674277,152.7218975973155,125.42880139491054,172.23979449496164
-38.0459397374108,-53.07646429748428,3719.881336149262,153.09379244346005,138.0110247659069,170.26253389558582
-38.055149395837816,-53.09604925531427,3726.982791571698,146.13345728183742,131.09764743511604,172.1137575802319
-38.0643557759979,-53.11563912121616,3710.9048932646656,151.76304905442436,122.10838398585499,174.0061208082924
-38.073558876008285,-53.13523389630156,3691.359932988214,153.22234033308922,131.79149489619982,182.7101008203336
