frecuencias,tl_z_8,tl_z_half,tl_max_z
2.0,296.9038542302456,282.2869371952007,314.9849231503294
4.0,397.2750963185081,383.1862579964392,415.2652945035364
6.0,488.11429785304455,474.1626389114908,506.09584812432513
8.0,433.9054525866858,420.14332880981374,451.9821951048042
10.0,299.2728332607668,285.8565594265151,317.3151629981031
12.0,260.90844880818975,247.69132413204468,278.92604455527817
14.0,234.75947314723737,221.67854322105,252.7750593572204
16.0,229.97326786926536,216.98983619919613,247.98455105326008
18.0,222.7597374239965,209.8958458729272,240.76727100059216
20.0,210.1333151240976,197.39423261557252,228.1363858174838
22.0,201.94863106414533,189.3184985289193,219.9477915970023
24.0,194.31977194961752,181.76890542194693,212.315846853901
26.0,193.8079793247088,181.3346740106716,211.8014790609953
28.0,195.79329171612923,183.09973398661813,213.79864228853955
30.0,182.11106672977803,170.28820282268543,200.08127072571267
32.0,173.31829245924678,161.32099444953425,191.2940858157424
34.0,177.06209336909956,164.76242112411094,195.05030914271157
36.0,171.45255544616847,160.133057146103,189.3922813360196
38.0,183.0110689306192,170.1279526743288,201.01645384066015
40.0,172.6625126984873,160.06999948777636,190.66103479057276
42.0,171.68817051732344,159.18003932819337,189.6918162045633
44.0,168.5061519749159,156.10267816164293,186.5018013179832
46.0,174.56172957568515,162.27372458899404,192.5505371889976
48.0,175.93121795740825,163.88089267518956,193.8930128064291
50.0,167.19189403454487,155.71536258546664,185.13622477204933
52.0,186.1960572850602,175.3831225530523,204.1022531350922
54.0,176.65209562651162,164.43593110124982,194.5766129755267
56.0,170.12619635504967,158.6695305162713,188.07088201664843
58.0,166.92650338513374,155.01765880101087,184.93041861258595
60.0,175.2056173286568,163.25720431961753,193.21413740700936
62.0,169.72507592284626,157.48816734431276,187.6494590353803
64.0,176.30458138512617,163.20457566902283,194.1606787021723
66.0,173.62499962864288,154.55030731123756,192.28580249164213
68.0,168.29985710775327,156.8192752698121,186.27798439204537
70.0,165.42223369508662,151.90493093516224,183.66379020954545
72.0,169.48276851079964,157.0914557883928,187.4459582624721
74.0,171.04227933104934,157.52353684542902,188.9632575888604
76.0,175.37756246000777,160.6190073169123,193.73528881818464
78.0,173.5865969669682,157.90170879382043,191.79805485947168
80.0,165.48438605144503,152.72180595162428,183.33664507057023
82.0,168.3663289668209,160.11348283428455,186.10208036719456
84.0,164.70969475827073,153.51022136315962,182.66464412187227
86.0,166.5936131105777,149.48905612908004,185.4433822550139
88.0,167.72202237281294,156.87481417109134,185.6065072323192
90.0,179.3781166620096,166.8870401613098,196.80927044007964
92.0,171.18886491897462,158.50788618490395,188.98992674116045
94.0,165.543146895377,154.7970036737788,183.44251560609447
96.0,171.72281983213352,159.2906945171837,189.7942467509461
98.0,185.0353714301228,157.28904620467856,208.32625639996584
100.0,173.83371283963226,159.11435806491755,192.77379625125383
