lat,lon,bat,tl_z_8,tl_z_half,tl_max_z
-37.75882455028353,-52.47175884670565,3957.7260188109985,171.81846394401924,124.76618869616222,194.47291846825738
-37.76813490442266,-52.491192217019154,3942.1602258730227,149.51554254430434,119.7132895516253,166.66992003804918
-37.77744203836029,-52.510630459917195,3945.331104979499,166.33867717741762,126.29785066623944,183.76546350772782
-37.78674595023253,-52.53007357657499,3946.7055414135466,149.59931207264214,127.96731444681582,170.32219237931582
-37.79604663817489,-52.54952156816579,3943.299449814709,151.29222033799667,130.572006227093,168.9485991179138
-37.805344100322294,-52.568974435860845,3951.241210348755,156.47324938123654,128.7421793950603,174.62205659000657
-37.81463833480897,-52.58843218082934,3959.4288789082393,153.40958379148574,128.63082157373773,177.8130217668276
-37.8239293397686,-52.60789480423854,3927.7684633141225,147.04640775414174,128.7298481444038,164.6068479220639
-37.83321711333423,-52.62736230725365,3920.094616034775,145.896139556532,123.11497004809019,177.235517776742
-37.84250165363828,-52.646834691037895,3929.1225232518254,154.04463218490542,133.94390031458937,180.09062550601982
-37.85178295881255,-52.66631195675246,3940.495370725403,154.47245683166653,138.05407614461626,178.73622549878803
-37.861061026988246,-52.68579410555649,3953.2187076258306,156.99792130801492,136.04295056272966,175.38550110226342
-37.87033585629593,-52.70528113860716,3944.3044503092674,148.62435800938502,128.16998848644945,166.8764042225685
-37.87960744486557,-52.72477305705955,3938.3205061796984,169.52716020356223,123.09750397425903,190.79413681714425
-37.88887579082654,-52.744269862066794,3929.299456660381,152.63016984668977,125.46207551550364,170.5074333664619
-37.89814089230754,-52.76377155477988,3914.674644822736,151.5840804135737,134.5421350766742,169.17865609826126
-37.90740274743671,-52.78327813634785,3988.5940492489826,153.3489528984551,125.78985380547608,170.9500999962972
-37.91666135434158,-52.80278960791764,4001.8406938826492,157.95286933262082,131.46528955121892,174.8851531746797
-37.92591671114901,-52.82230597063419,3962.2261296650818,151.16668014308522,125.86744897232629,168.26467078249684
-37.93516881598533,-52.841827225640316,3912.897586777889,159.39648487966934,128.50795472422314,177.57227069568506
-37.94441766697618,-52.861353374076856,3862.3046513047016,166.82370716055658,125.5581003529208,185.1413435899851
-37.953663262246664,-52.88088441708253,3816.097447784232,152.18331599577604,146.7846878451233,177.14175318306454
-37.962905599921214,-52.900420355794026,3778.2930806861323,161.35288731233834,121.98398622333306,179.38263445991407
-37.9721446781237,-52.91996119134596,3773.7035303041002,155.82361715606902,128.03110174365378,172.0524902250554
-37.98138049497737,-52.93950692487085,3770.0951050010162,157.13471118331293,133.9300991556352,176.12123996656743
-37.99061304860484,-52.95905755749917,3761.303188543886,147.13662454713796,123.99194394308293,164.25622821359744
-37.99984233712814,-52.9786130903593,3750.217823102093,150.87897048970493,125.44669653768938,188.2268761106849
-38.009068358668706,-52.99817352457753,3733.4743026982146,150.54048794349148,131.90342773496573,168.37198102594832
-38.018291111347345,-53.01773886127807,3735.5911602642086,158.6177018493196,132.98071377317459,175.02447202776102
-38.027510593284276,-53.03730910158304,3738.203569763289,151.8366387305715,133.21023663337658,179.6908997992251
-38.03672680259909,-53.05688424661248,3727.647490674277,147.21712980533113,125.68715748496948,175.2106906868957
